# n_samples,memory,time
2.000000000000000000e+00,6.956371200000000000e+07,6.364567567674657456e-01
3.000000000000000000e+00,8.241108300000000000e+07,6.953508853912353516e-01
4.000000000000000000e+00,8.887127400000000000e+07,6.834790706634521484e-01
5.000000000000000000e+00,9.523097600000000000e+07,6.751582622528076172e-01
6.000000000000000000e+00,1.015741590000000000e+08,6.777367591857910156e-01
7.000000000000000000e+00,1.079136090000000000e+08,6.959033012390136719e-01
8.000000000000000000e+00,1.142477610000000000e+08,6.881077289581298828e-01
9.000000000000000000e+00,1.205743970000000000e+08,6.993482112884521484e-01
1.000000000000000000e+01,1.269000240000000000e+08,6.910846233367919922e-01
1.100000000000000000e+01,1.332295090000000000e+08,6.982104778289794922e-01
1.200000000000000000e+01,1.395546070000000000e+08,6.983413696289062500e-01
1.300000000000000000e+01,1.458711370000000000e+08,7.025582790374755859e-01
1.400000000000000000e+01,1.521793100000000000e+08,6.964004039764404297e-01
1.500000000000000000e+01,1.584845490000000000e+08,7.095382213592529297e-01
1.600000000000000000e+01,1.647851160000000000e+08,7.111554145812988281e-01
1.700000000000000000e+01,1.710818890000000000e+08,7.063724994659423828e-01
1.800000000000000000e+01,1.773699220000000000e+08,7.018241882324218750e-01
1.900000000000000000e+01,1.836578630000000000e+08,7.143294811248779297e-01
2.000000000000000000e+01,1.899397110000000000e+08,7.122704982757568359e-01
2.100000000000000000e+01,1.962214110000000000e+08,7.188301086425781250e-01
2.200000000000000000e+01,2.024945670000000000e+08,7.228782176971435547e-01
2.300000000000000000e+01,2.087663560000000000e+08,7.198300361633300781e-01
2.400000000000000000e+01,2.150297420000000000e+08,7.152783870697021484e-01
2.500000000000000000e+01,2.212889680000000000e+08,7.134470939636230469e-01
2.600000000000000000e+01,2.275504050000000000e+08,7.276499271392822266e-01
2.700000000000000000e+01,2.338031090000000000e+08,7.208771705627441406e-01
2.800000000000000000e+01,2.400516270000000000e+08,7.259843349456787109e-01
2.900000000000000000e+01,2.462970390000000000e+08,7.263760566711425781e-01
3.000000000000000000e+01,2.525357900000000000e+08,7.283551692962646484e-01
3.100000000000000000e+01,2.587719250000000000e+08,7.288486957550048828e-01
3.200000000000000000e+01,2.650029990000000000e+08,7.323324680328369141e-01
3.300000000000000000e+01,2.712353940000000000e+08,7.315123081207275391e-01
3.400000000000000000e+01,2.774601230000000000e+08,7.408320903778076172e-01
3.500000000000000000e+01,2.836776670000000000e+08,7.429292201995849609e-01
3.600000000000000000e+01,2.898931100000000000e+08,7.376072406768798828e-01
3.700000000000000000e+01,2.961061530000000000e+08,7.481985092163085938e-01
3.800000000000000000e+01,3.023126790000000000e+08,7.377719879150390625e-01
3.900000000000000000e+01,3.085153710000000000e+08,7.478489875793457031e-01
4.000000000000000000e+01,3.147135690000000000e+08,7.539217472076416016e-01
4.100000000000000000e+01,3.209230340000000000e+08,7.529423236846923828e-01
4.200000000000000000e+01,3.271120620000000000e+08,7.463476657867431641e-01
4.300000000000000000e+01,3.332980680000000000e+08,7.459077835083007812e-01
4.400000000000000000e+01,3.394833970000000000e+08,7.695696353912353516e-01
4.500000000000000000e+01,3.456582730000000000e+08,7.518293857574462891e-01
4.600000000000000000e+01,3.518314660000000000e+08,7.656273841857910156e-01
4.700000000000000000e+01,3.580009210000000000e+08,7.563257217407226562e-01
4.800000000000000000e+01,3.641670690000000000e+08,7.624480724334716797e-01
4.900000000000000000e+01,3.703245580000000000e+08,7.668514251708984375e-01
5.000000000000000000e+01,3.764806360000000000e+08,7.636837959289550781e-01
5.100000000000000000e+01,3.826316390000000000e+08,7.745656967163085938e-01
5.200000000000000000e+01,3.887832130000000000e+08,7.608139514923095703e-01
5.300000000000000000e+01,3.949269920000000000e+08,7.610085010528564453e-01
5.400000000000000000e+01,4.010684920000000000e+08,7.770776748657226562e-01
5.500000000000000000e+01,4.072020690000000000e+08,7.634751796722412109e-01
5.600000000000000000e+01,4.133328830000000000e+08,7.781653404235839844e-01
5.700000000000000000e+01,4.194619470000000000e+08,7.771570682525634766e-01
5.800000000000000000e+01,4.255859270000000000e+08,7.824463844299316406e-01
5.900000000000000000e+01,4.317054970000000000e+08,7.818846702575683594e-01
6.000000000000000000e+01,4.378188610000000000e+08,7.729737758636474609e-01
6.100000000000000000e+01,4.439278010000000000e+08,7.612113952636718750e-01
6.200000000000000000e+01,4.499402700000000000e+08,7.580547332763671875e-01
6.300000000000000000e+01,4.560429570000000000e+08,7.622966766357421875e-01
6.400000000000000000e+01,4.621370110000000000e+08,7.653756141662597656e-01
6.500000000000000000e+01,4.682285230000000000e+08,7.647862434387207031e-01
6.600000000000000000e+01,4.743165780000000000e+08,7.671809196472167969e-01
6.700000000000000000e+01,4.803983150000000000e+08,7.834682464599609375e-01
6.800000000000000000e+01,4.864784080000000000e+08,7.797682285308837891e-01
6.900000000000000000e+01,4.925539940000000000e+08,7.745647430419921875e-01
7.000000000000000000e+01,4.986261420000000000e+08,7.926278114318847656e-01
7.100000000000000000e+01,5.046925290000000000e+08,7.744026184082031250e-01
7.200000000000000000e+01,5.107538050000000000e+08,7.724280357360839844e-01
7.300000000000000000e+01,5.168119650000000000e+08,7.854509353637695312e-01
7.400000000000000000e+01,5.228654350000000000e+08,7.820703983306884766e-01
7.500000000000000000e+01,5.289147250000000000e+08,7.862792015075683594e-01
7.600000000000000000e+01,5.349593860000000000e+08,7.826256752014160156e-01
7.700000000000000000e+01,5.410114250000000000e+08,7.834579944610595703e-01
7.800000000000000000e+01,5.470471980000000000e+08,7.902860641479492188e-01
7.900000000000000000e+01,5.530802340000000000e+08,7.834959030151367188e-01
8.000000000000000000e+01,5.591092980000000000e+08,7.812483310699462891e-01
8.100000000000000000e+01,5.651345590000000000e+08,7.894270420074462891e-01
8.200000000000000000e+01,5.711534710000000000e+08,7.942678928375244141e-01
8.300000000000000000e+01,5.771692760000000000e+08,7.907147407531738281e-01
8.400000000000000000e+01,5.831806140000000000e+08,7.936069965362548828e-01
8.500000000000000000e+01,5.891885240000000000e+08,7.986295223236083984e-01
8.600000000000000000e+01,5.951936580000000000e+08,7.954437732696533203e-01
8.700000000000000000e+01,6.011977720000000000e+08,8.083796501159667969e-01
8.800000000000000000e+01,6.071940850000000000e+08,7.994453907012939453e-01
8.900000000000000000e+01,6.131888030000000000e+08,8.048863410949707031e-01
9.000000000000000000e+01,6.191776310000000000e+08,8.057761192321777344e-01
9.100000000000000000e+01,6.251598140000000000e+08,7.979164123535156250e-01
9.200000000000000000e+01,6.311398440000000000e+08,8.030369281768798828e-01
9.300000000000000000e+01,6.371138620000000000e+08,8.138380050659179688e-01
9.400000000000000000e+01,6.430825780000000000e+08,8.130924701690673828e-01
9.500000000000000000e+01,6.490476710000000000e+08,8.089230060577392578e-01
9.600000000000000000e+01,6.550091880000000000e+08,8.045971393585205078e-01
