# n_samples,memory,time
2.000000000000000000e+00,5.943885600000000000e+07,2.149716806411743164e+01
3.000000000000000000e+00,6.808786000000000000e+07,6.097445487976074219e-01
4.000000000000000000e+00,7.268573500000000000e+07,5.914511680603027344e-01
5.000000000000000000e+00,7.720451700000000000e+07,5.873789787292480469e-01
6.000000000000000000e+00,8.167745300000000000e+07,5.949859619140625000e-01
7.000000000000000000e+00,8.614374600000000000e+07,5.958027839660644531e-01
8.000000000000000000e+00,9.060405800000000000e+07,5.948219299316406250e-01
9.000000000000000000e+00,9.505928200000000000e+07,6.039669513702392578e-01
1.000000000000000000e+01,9.951049000000000000e+07,5.895121097564697266e-01
1.100000000000000000e+01,1.039671700000000000e+08,5.953705310821533203e-01
1.200000000000000000e+01,1.084191940000000000e+08,6.047875881195068359e-01
1.300000000000000000e+01,1.128624340000000000e+08,6.008727550506591797e-01
1.400000000000000000e+01,1.172968740000000000e+08,5.989882946014404297e-01
1.500000000000000000e+01,1.217270960000000000e+08,5.953249931335449219e-01
1.600000000000000000e+01,1.261537150000000000e+08,6.052517890930175781e-01
1.700000000000000000e+01,1.305758470000000000e+08,6.036942005157470703e-01
1.800000000000000000e+01,1.349939830000000000e+08,5.992417335510253906e-01
1.900000000000000000e+01,1.394083900000000000e+08,6.094129085540771484e-01
2.000000000000000000e+01,1.438210380000000000e+08,6.244270801544189453e-01
2.100000000000000000e+01,1.482264150000000000e+08,6.148922443389892578e-01
2.200000000000000000e+01,1.526271110000000000e+08,6.169159412384033203e-01
2.300000000000000000e+01,1.570238880000000000e+08,6.245853900909423828e-01
2.400000000000000000e+01,1.614166050000000000e+08,6.162784099578857422e-01
2.500000000000000000e+01,1.658047250000000000e+08,6.252970695495605469e-01
2.600000000000000000e+01,1.701888960000000000e+08,6.193141937255859375e-01
2.700000000000000000e+01,1.745721840000000000e+08,6.324844360351562500e-01
2.800000000000000000e+01,1.789483730000000000e+08,6.348071098327636719e-01
2.900000000000000000e+01,1.833201980000000000e+08,6.207144260406494141e-01
3.000000000000000000e+01,1.876887500000000000e+08,6.279416084289550781e-01
3.100000000000000000e+01,1.920519180000000000e+08,6.353695392608642578e-01
3.200000000000000000e+01,1.964116170000000000e+08,6.255614757537841797e-01
3.300000000000000000e+01,2.007662010000000000e+08,6.262719631195068359e-01
