# n_samples,memory,time
2.000000000000000000e+00,1.064638100000000000e+08,2.669608807563781738e+01
3.000000000000000000e+00,1.104613480000000000e+08,4.507956504821777344e-01
4.000000000000000000e+00,1.144014450000000000e+08,4.437928199768066406e-01
5.000000000000000000e+00,1.182771170000000000e+08,4.513580799102783203e-01
6.000000000000000000e+00,1.221254660000000000e+08,4.530439376831054688e-01
7.000000000000000000e+00,1.259577420000000000e+08,4.492580890655517578e-01
8.000000000000000000e+00,1.297906930000000000e+08,4.475119113922119141e-01
9.000000000000000000e+00,1.336114700000000000e+08,4.555399417877197266e-01
1.000000000000000000e+01,1.374305400000000000e+08,4.584822654724121094e-01
1.100000000000000000e+01,1.412433990000000000e+08,4.562649726867675781e-01
1.200000000000000000e+01,1.450557030000000000e+08,4.593939781188964844e-01
1.300000000000000000e+01,1.488599260000000000e+08,4.628458023071289062e-01
1.400000000000000000e+01,1.526661410000000000e+08,4.605519771575927734e-01
1.500000000000000000e+01,1.564562980000000000e+08,4.620640277862548828e-01
1.600000000000000000e+01,1.602509690000000000e+08,4.619400501251220703e-01
1.700000000000000000e+01,1.640414560000000000e+08,4.662840366363525391e-01
1.800000000000000000e+01,1.678280710000000000e+08,4.675328731536865234e-01
1.900000000000000000e+01,1.716107190000000000e+08,4.769337177276611328e-01
2.000000000000000000e+01,1.753884800000000000e+08,4.724228382110595703e-01
2.100000000000000000e+01,1.791544280000000000e+08,4.739670753479003906e-01
2.200000000000000000e+01,1.829218910000000000e+08,4.803597927093505859e-01
2.300000000000000000e+01,1.866850330000000000e+08,4.815039634704589844e-01
2.400000000000000000e+01,1.904442590000000000e+08,4.821379184722900391e-01
2.500000000000000000e+01,1.942043250000000000e+08,4.832859039306640625e-01
2.600000000000000000e+01,1.979546680000000000e+08,4.860942363739013672e-01
2.700000000000000000e+01,2.017036920000000000e+08,4.879448413848876953e-01
2.800000000000000000e+01,2.054469500000000000e+08,4.863941669464111328e-01
2.900000000000000000e+01,2.091835400000000000e+08,4.861001968383789062e-01
3.000000000000000000e+01,2.129155810000000000e+08,4.986689090728759766e-01
3.100000000000000000e+01,2.166512610000000000e+08,4.967627525329589844e-01
3.200000000000000000e+01,2.203796680000000000e+08,5.686788558959960938e-01
3.300000000000000000e+01,2.241048740000000000e+08,5.001947879791259766e-01
3.400000000000000000e+01,2.278190250000000000e+08,5.093989372253417969e-01
3.500000000000000000e+01,2.315348470000000000e+08,5.042588710784912109e-01
3.600000000000000000e+01,2.352004850000000000e+08,5.124568939208984375e-01
3.700000000000000000e+01,2.389109420000000000e+08,5.310668945312500000e-01
3.800000000000000000e+01,2.426109900000000000e+08,5.022399425506591797e-01
3.900000000000000000e+01,2.463068390000000000e+08,5.067410469055175781e-01
4.000000000000000000e+01,2.499958330000000000e+08,5.180869102478027344e-01
4.100000000000000000e+01,2.536875230000000000e+08,5.206573009490966797e-01
4.200000000000000000e+01,2.573687040000000000e+08,5.234789848327636719e-01
4.300000000000000000e+01,2.610536110000000000e+08,5.314810276031494141e-01
4.400000000000000000e+01,2.647279070000000000e+08,5.678620338439941406e-01
4.500000000000000000e+01,2.684003690000000000e+08,5.349068641662597656e-01
4.600000000000000000e+01,2.720670620000000000e+08,5.627019405364990234e-01
4.700000000000000000e+01,2.757331190000000000e+08,5.649418830871582031e-01
4.800000000000000000e+01,2.793834850000000000e+08,5.493021011352539062e-01
4.900000000000000000e+01,2.830399890000000000e+08,5.653300285339355469e-01
5.000000000000000000e+01,2.866884260000000000e+08,8.607540130615234375e-01
5.100000000000000000e+01,2.900646170000000000e+08,5.407071113586425781e-01
5.200000000000000000e+01,2.937479780000000000e+08,5.506999492645263672e-01
5.300000000000000000e+01,2.974189860000000000e+08,5.573699474334716797e-01
5.400000000000000000e+01,3.010613470000000000e+08,5.466003417968750000e-01
5.500000000000000000e+01,3.047004150000000000e+08,5.840561389923095703e-01
5.600000000000000000e+01,3.083331690000000000e+08,5.451419353485107422e-01
5.700000000000000000e+01,3.119601960000000000e+08,5.410430431365966797e-01
5.800000000000000000e+01,3.155883800000000000e+08,5.456171035766601562e-01
5.900000000000000000e+01,3.192101790000000000e+08,5.456867218017578125e-01
6.000000000000000000e+01,3.228242420000000000e+08,5.440540313720703125e-01
6.100000000000000000e+01,3.264343670000000000e+08,5.040111541748046875e-01
6.200000000000000000e+01,3.300367050000000000e+08,4.981520175933837891e-01
6.300000000000000000e+01,3.336568150000000000e+08,5.008821487426757812e-01
6.400000000000000000e+01,3.372527390000000000e+08,5.017831325531005859e-01
6.500000000000000000e+01,3.408456650000000000e+08,5.112750530242919922e-01
6.600000000000000000e+01,3.444337210000000000e+08,5.246138572692871094e-01
6.700000000000000000e+01,3.480175460000000000e+08,5.099370479583740234e-01
6.800000000000000000e+01,3.515956300000000000e+08,5.134031772613525391e-01
6.900000000000000000e+01,3.551290110000000000e+08,5.062499046325683594e-01
7.000000000000000000e+01,3.586992380000000000e+08,5.117797851562500000e-01
7.100000000000000000e+01,3.622674620000000000e+08,5.053617954254150391e-01
