,rng_tp_mean,rng_tp_std,test_tm,deeptune_tp_mean,deeptune_tp_std,deeptune_tm,bayes-opt_tp_mean,bayes-opt_tp_std,bayes-opt_tm
0,13152.114399999999,18045.655860196843,28.895612972547816,5626.508199999999,11738.286816301039,,11286.157600000002,17173.27792651252,28.89609243231039
1,13151.9524,18045.772688440862,57.812950406963395,5627.983399999998,11737.589142073532,29.040473001768397,11284.3739,17174.4405483314,58.008448396617936
2,13150.359899999998,18046.925842368306,87.04297945330603,5251.338199999998,11294.747091567953,58.09018424599843,11284.497100000002,17174.3607295526,87.51633522341712
3,12729.499099999999,17823.980602384647,116.1622109080784,5592.843199999998,11646.169659165875,87.45338890383704,11372.3915,17139.60147450654,117.07970234408305
4,12608.1462,17868.857393744278,145.38126519770486,5592.808000000001,11646.186097537255,116.705437626981,10989.129599999997,16960.079822684795,146.50824907870157
5,12608.490499999998,17868.617658205145,174.52248977663353,6002.020299999999,12230.443145788337,146.0591142520414,11274.805299999996,17013.148187453222,176.25354122164086
6,12606.675399999998,17869.888883442025,203.70900533991403,6421.4043,12772.594408081488,175.33677529337243,11685.3836,17263.27469520001,206.96808479624337
7,12488.251199999999,17912.785180257273,232.8879377408723,6421.2237,12772.68295851327,204.65658090906686,12031.390599999999,17375.528934488113,237.28886075455944
8,12429.921299999998,17934.168578669636,262.05136054938816,6421.241599999999,12772.673963809906,233.9701106115083,12031.602099999996,17375.384412986165,267.1027526277878
9,12444.3085,17925.894962434504,291.1995001033233,6304.6059,12776.276340353168,263.2669989485123,12460.579399999997,17601.19386542815,297.24922205957637
10,12398.7849,17856.394967074037,320.2645840688387,6292.374999999999,12781.558158840846,292.55091859850154,12042.883999999998,17391.70940930276,327.5979478402773
11,12400.421999999997,17855.26579665371,349.3514381405803,6290.8714,12782.289195269133,321.75182795960103,12054.859199999999,17383.94113194811,358.16866979570113
12,12400.2729,17855.36804489195,378.658354703004,6675.517499999999,13332.203162774513,350.9728544709178,11678.3216,17228.720802439962,388.17967218499865
13,12511.9415,17821.053817951528,407.8321554157043,6677.0743999999995,13331.432904719906,380.4137486849376,11356.659099999999,17139.83311964315,418.2561056110168
