# n_samples,memory,time
2.000000000000000000e+00,6.514762400000000000e+07,3.169523906707763672e+01
3.000000000000000000e+00,7.362442700000000000e+07,6.783015727996826172e-01
4.000000000000000000e+00,7.793663800000000000e+07,6.597208976745605469e-01
5.000000000000000000e+00,8.222785300000000000e+07,6.665744781494140625e-01
6.000000000000000000e+00,8.640963500000000000e+07,6.638205051422119141e-01
7.000000000000000000e+00,9.058250900000000000e+07,6.690778732299804688e-01
8.000000000000000000e+00,9.474970600000000000e+07,6.649100780487060547e-01
9.000000000000000000e+00,9.891235100000000000e+07,6.648337841033935547e-01
1.000000000000000000e+01,1.030723870000000000e+08,6.622660160064697266e-01
1.100000000000000000e+01,1.072367390000000000e+08,6.732673645019531250e-01
1.200000000000000000e+01,1.113966770000000000e+08,6.731417179107666016e-01
1.300000000000000000e+01,1.155461210000000000e+08,6.792960166931152344e-01
1.400000000000000000e+01,1.196880700000000000e+08,6.716275215148925781e-01
1.500000000000000000e+01,1.238266860000000000e+08,6.807019710540771484e-01
1.600000000000000000e+01,1.279606410000000000e+08,6.812274456024169922e-01
1.700000000000000000e+01,1.320898660000000000e+08,6.846158504486083984e-01
1.800000000000000000e+01,1.362158400000000000e+08,6.811470985412597656e-01
1.900000000000000000e+01,1.403397380000000000e+08,6.812908649444580078e-01
2.000000000000000000e+01,1.444589330000000000e+08,6.943104267120361328e-01
2.100000000000000000e+01,1.485710030000000000e+08,6.829447746276855469e-01
2.200000000000000000e+01,1.526795510000000000e+08,6.820151805877685547e-01
2.300000000000000000e+01,1.567849950000000000e+08,6.844303607940673828e-01
2.400000000000000000e+01,1.608833840000000000e+08,6.845390796661376953e-01
2.500000000000000000e+01,1.649813780000000000e+08,6.944849491119384766e-01
2.600000000000000000e+01,1.690750510000000000e+08,7.037696838378906250e-01
2.700000000000000000e+01,1.731630090000000000e+08,6.929821968078613281e-01
2.800000000000000000e+01,1.772460330000000000e+08,7.019302845001220703e-01
2.900000000000000000e+01,1.813253080000000000e+08,6.845850944519042969e-01
3.000000000000000000e+01,1.854043450000000000e+08,7.042095661163330078e-01
3.100000000000000000e+01,1.894772420000000000e+08,7.029614448547363281e-01
3.200000000000000000e+01,1.935411860000000000e+08,7.028989791870117188e-01
3.300000000000000000e+01,1.976064920000000000e+08,7.110922336578369141e-01
3.400000000000000000e+01,2.016643670000000000e+08,6.942610740661621094e-01
3.500000000000000000e+01,2.057178320000000000e+08,6.954414844512939453e-01
3.600000000000000000e+01,2.097676200000000000e+08,7.019352912902832031e-01
3.700000000000000000e+01,2.138145530000000000e+08,7.098009586334228516e-01
3.800000000000000000e+01,2.178573810000000000e+08,7.133524417877197266e-01
3.900000000000000000e+01,2.218948140000000000e+08,7.143337726593017578e-01
4.000000000000000000e+01,2.259275820000000000e+08,7.014255523681640625e-01
4.100000000000000000e+01,2.299570640000000000e+08,7.058014869689941406e-01
4.200000000000000000e+01,2.339796280000000000e+08,7.104465961456298828e-01
4.300000000000000000e+01,2.380033290000000000e+08,7.116312980651855469e-01
4.400000000000000000e+01,2.420201660000000000e+08,7.059028148651123047e-01
4.500000000000000000e+01,2.460329730000000000e+08,7.095952033996582031e-01
4.600000000000000000e+01,2.500405390000000000e+08,7.208716869354248047e-01
4.700000000000000000e+01,2.540428080000000000e+08,7.171378135681152344e-01
4.800000000000000000e+01,2.580431480000000000e+08,7.176210880279541016e-01
4.900000000000000000e+01,2.620386870000000000e+08,7.255542278289794922e-01
5.000000000000000000e+01,2.660301290000000000e+08,7.359337806701660156e-01
5.100000000000000000e+01,2.700161450000000000e+08,7.225232124328613281e-01
5.200000000000000000e+01,2.740008570000000000e+08,7.274720668792724609e-01
